Index,DeliveryDate,Version,inputFolder,inputFilename,imageXyPixelSize,imageZPixelSize,memChannel,nucChannel,structureChannel,structureProteinName,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename,outputCellSegIndex,SegmentationXyPixelSize,SegmentationZPixelSize,outputNucSegWholeSegScaleFilename,outputCellSegWholeSegScaleFilename,structureSegOutputFolder,structureSegOutputFilename,structureSegContourFilename,structureSegSegScaleOutputFilename,structureSegSegScaleContourFilename,StructureSegmentationMethod,outputSegmentationContourPath,outputNucSegContourFilename,outputCellSegContourFilename,outputNucSegContourSegScaleFilename,outputCellSegContourSegScaleFilename
1,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_001.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_001.czi_nucWholeIndex.tiff,20170117_I01_001.czi_cellWholeIndex.tiff,02;03;,0.065,0.29,20170117_I01_001.czi_nucWholeIndex.tiff,20170117_I01_001.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_001_structSegment.tiff,20170117_I01_001_structContour.tiff,20170117_I01_001_structSegment.tiff,20170117_I01_001_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_001.czi_nucSegScaleContourXY.tiff,20170117_I01_001.czi_cellSegScaleContourXY.tiff,20170117_I01_001.czi_nucSegScaleContourXY.tiff,20170117_I01_001.czi_cellSegScaleContourXY.tiff
2,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_002.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_002.czi_nucWholeIndex.tiff,20170117_I01_002.czi_cellWholeIndex.tiff,01;03;,0.065,0.29,20170117_I01_002.czi_nucWholeIndex.tiff,20170117_I01_002.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_002_structSegment.tiff,20170117_I01_002_structContour.tiff,20170117_I01_002_structSegment.tiff,20170117_I01_002_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_002.czi_nucSegScaleContourXY.tiff,20170117_I01_002.czi_cellSegScaleContourXY.tiff,20170117_I01_002.czi_nucSegScaleContourXY.tiff,20170117_I01_002.czi_cellSegScaleContourXY.tiff
3,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_003.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_003.czi_nucWholeIndex.tiff,20170117_I01_003.czi_cellWholeIndex.tiff,01;02;04;05;,0.065,0.29,20170117_I01_003.czi_nucWholeIndex.tiff,20170117_I01_003.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_003_structSegment.tiff,20170117_I01_003_structContour.tiff,20170117_I01_003_structSegment.tiff,20170117_I01_003_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_003.czi_nucSegScaleContourXY.tiff,20170117_I01_003.czi_cellSegScaleContourXY.tiff,20170117_I01_003.czi_nucSegScaleContourXY.tiff,20170117_I01_003.czi_cellSegScaleContourXY.tiff
4,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_004.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_004.czi_nucWholeIndex.tiff,20170117_I01_004.czi_cellWholeIndex.tiff,02;03;04;05;06;,0.065,0.29,20170117_I01_004.czi_nucWholeIndex.tiff,20170117_I01_004.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_004_structSegment.tiff,20170117_I01_004_structContour.tiff,20170117_I01_004_structSegment.tiff,20170117_I01_004_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_004.czi_nucSegScaleContourXY.tiff,20170117_I01_004.czi_cellSegScaleContourXY.tiff,20170117_I01_004.czi_nucSegScaleContourXY.tiff,20170117_I01_004.czi_cellSegScaleContourXY.tiff
5,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_005.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_005.czi_nucWholeIndex.tiff,20170117_I01_005.czi_cellWholeIndex.tiff,04;05;06;08;,0.065,0.29,20170117_I01_005.czi_nucWholeIndex.tiff,20170117_I01_005.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_005_structSegment.tiff,20170117_I01_005_structContour.tiff,20170117_I01_005_structSegment.tiff,20170117_I01_005_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_005.czi_nucSegScaleContourXY.tiff,20170117_I01_005.czi_cellSegScaleContourXY.tiff,20170117_I01_005.czi_nucSegScaleContourXY.tiff,20170117_I01_005.czi_cellSegScaleContourXY.tiff
6,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_006.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_006.czi_nucWholeIndex.tiff,20170117_I01_006.czi_cellWholeIndex.tiff,02;03;,0.065,0.29,20170117_I01_006.czi_nucWholeIndex.tiff,20170117_I01_006.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_006_structSegment.tiff,20170117_I01_006_structContour.tiff,20170117_I01_006_structSegment.tiff,20170117_I01_006_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_006.czi_nucSegScaleContourXY.tiff,20170117_I01_006.czi_cellSegScaleContourXY.tiff,20170117_I01_006.czi_nucSegScaleContourXY.tiff,20170117_I01_006.czi_cellSegScaleContourXY.tiff
7,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_007.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_007.czi_nucWholeIndex.tiff,20170117_I01_007.czi_cellWholeIndex.tiff,01;02;05;,0.065,0.29,20170117_I01_007.czi_nucWholeIndex.tiff,20170117_I01_007.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_007_structSegment.tiff,20170117_I01_007_structContour.tiff,20170117_I01_007_structSegment.tiff,20170117_I01_007_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_007.czi_nucSegScaleContourXY.tiff,20170117_I01_007.czi_cellSegScaleContourXY.tiff,20170117_I01_007.czi_nucSegScaleContourXY.tiff,20170117_I01_007.czi_cellSegScaleContourXY.tiff
8,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_008.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_008.czi_nucWholeIndex.tiff,20170117_I01_008.czi_cellWholeIndex.tiff,01;02;03;,0.065,0.29,20170117_I01_008.czi_nucWholeIndex.tiff,20170117_I01_008.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_008_structSegment.tiff,20170117_I01_008_structContour.tiff,20170117_I01_008_structSegment.tiff,20170117_I01_008_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_008.czi_nucSegScaleContourXY.tiff,20170117_I01_008.czi_cellSegScaleContourXY.tiff,20170117_I01_008.czi_nucSegScaleContourXY.tiff,20170117_I01_008.czi_cellSegScaleContourXY.tiff
9,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_010.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_010.czi_nucWholeIndex.tiff,20170117_I01_010.czi_cellWholeIndex.tiff,02;03;04;05;,0.065,0.29,20170117_I01_010.czi_nucWholeIndex.tiff,20170117_I01_010.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_010_structSegment.tiff,20170117_I01_010_structContour.tiff,20170117_I01_010_structSegment.tiff,20170117_I01_010_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_010.czi_nucSegScaleContourXY.tiff,20170117_I01_010.czi_cellSegScaleContourXY.tiff,20170117_I01_010.czi_nucSegScaleContourXY.tiff,20170117_I01_010.czi_cellSegScaleContourXY.tiff
10,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_011.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_011.czi_nucWholeIndex.tiff,20170117_I01_011.czi_cellWholeIndex.tiff,01;02;03;,0.065,0.29,20170117_I01_011.czi_nucWholeIndex.tiff,20170117_I01_011.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_011_structSegment.tiff,20170117_I01_011_structContour.tiff,20170117_I01_011_structSegment.tiff,20170117_I01_011_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_011.czi_nucSegScaleContourXY.tiff,20170117_I01_011.czi_cellSegScaleContourXY.tiff,20170117_I01_011.czi_nucSegScaleContourXY.tiff,20170117_I01_011.czi_cellSegScaleContourXY.tiff
11,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_012.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_012.czi_nucWholeIndex.tiff,20170117_I01_012.czi_cellWholeIndex.tiff,02;,0.065,0.29,20170117_I01_012.czi_nucWholeIndex.tiff,20170117_I01_012.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_012_structSegment.tiff,20170117_I01_012_structContour.tiff,20170117_I01_012_structSegment.tiff,20170117_I01_012_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_012.czi_nucSegScaleContourXY.tiff,20170117_I01_012.czi_cellSegScaleContourXY.tiff,20170117_I01_012.czi_nucSegScaleContourXY.tiff,20170117_I01_012.czi_cellSegScaleContourXY.tiff
12,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_013.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_013.czi_nucWholeIndex.tiff,20170117_I01_013.czi_cellWholeIndex.tiff,01;02;03;04;05;06;,0.065,0.29,20170117_I01_013.czi_nucWholeIndex.tiff,20170117_I01_013.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_013_structSegment.tiff,20170117_I01_013_structContour.tiff,20170117_I01_013_structSegment.tiff,20170117_I01_013_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_013.czi_nucSegScaleContourXY.tiff,20170117_I01_013.czi_cellSegScaleContourXY.tiff,20170117_I01_013.czi_nucSegScaleContourXY.tiff,20170117_I01_013.czi_cellSegScaleContourXY.tiff
13,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_014.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_014.czi_nucWholeIndex.tiff,20170117_I01_014.czi_cellWholeIndex.tiff,02;04;,0.065,0.29,20170117_I01_014.czi_nucWholeIndex.tiff,20170117_I01_014.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_014_structSegment.tiff,20170117_I01_014_structContour.tiff,20170117_I01_014_structSegment.tiff,20170117_I01_014_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_014.czi_nucSegScaleContourXY.tiff,20170117_I01_014.czi_cellSegScaleContourXY.tiff,20170117_I01_014.czi_nucSegScaleContourXY.tiff,20170117_I01_014.czi_cellSegScaleContourXY.tiff
14,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_015.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_015.czi_nucWholeIndex.tiff,20170117_I01_015.czi_cellWholeIndex.tiff,02;04;05;06;,0.065,0.29,20170117_I01_015.czi_nucWholeIndex.tiff,20170117_I01_015.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_015_structSegment.tiff,20170117_I01_015_structContour.tiff,20170117_I01_015_structSegment.tiff,20170117_I01_015_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_015.czi_nucSegScaleContourXY.tiff,20170117_I01_015.czi_cellSegScaleContourXY.tiff,20170117_I01_015.czi_nucSegScaleContourXY.tiff,20170117_I01_015.czi_cellSegScaleContourXY.tiff
15,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_016.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_016.czi_nucWholeIndex.tiff,20170117_I01_016.czi_cellWholeIndex.tiff,01;02;03;05;06;09;,0.065,0.29,20170117_I01_016.czi_nucWholeIndex.tiff,20170117_I01_016.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_016_structSegment.tiff,20170117_I01_016_structContour.tiff,20170117_I01_016_structSegment.tiff,20170117_I01_016_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_016.czi_nucSegScaleContourXY.tiff,20170117_I01_016.czi_cellSegScaleContourXY.tiff,20170117_I01_016.czi_nucSegScaleContourXY.tiff,20170117_I01_016.czi_cellSegScaleContourXY.tiff
16,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_017.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_017.czi_nucWholeIndex.tiff,20170117_I01_017.czi_cellWholeIndex.tiff,02;,0.065,0.29,20170117_I01_017.czi_nucWholeIndex.tiff,20170117_I01_017.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_017_structSegment.tiff,20170117_I01_017_structContour.tiff,20170117_I01_017_structSegment.tiff,20170117_I01_017_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_017.czi_nucSegScaleContourXY.tiff,20170117_I01_017.czi_cellSegScaleContourXY.tiff,20170117_I01_017.czi_nucSegScaleContourXY.tiff,20170117_I01_017.czi_cellSegScaleContourXY.tiff
17,2017_02_10,3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2017\20170117,20170117_I01_018.czi,0.065,0.29,1,3,2,Fibrillarin,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_02_10_Nuc_Cell_Seg_For_Release_Group_1\20170117_I01\nuc_cell_segmentation,20170117_I01_018.czi_nucWholeIndex.tiff,20170117_I01_018.czi_cellWholeIndex.tiff,01;,0.065,0.29,20170117_I01_018.czi_nucWholeIndex.tiff,20170117_I01_018.czi_cellWholeIndex.tiff,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\structure_segmentation,20170117_I01_018_structSegment.tiff,20170117_I01_018_structContour.tiff,20170117_I01_018_structSegment.tiff,20170117_I01_018_structContour.tiff,ALN4.0,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2017_03_08_Struct_First_Pass_Seg\20170117_I01\nuc_cell_contour,20170117_I01_018.czi_nucSegScaleContourXY.tiff,20170117_I01_018.czi_cellSegScaleContourXY.tiff,20170117_I01_018.czi_nucSegScaleContourXY.tiff,20170117_I01_018.czi_cellSegScaleContourXY.tiff
